      --------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 25   01:43:02    3217      0   01:50:08    2262      0
 23   00:30:59     398      0   12:36:18    4258      0
 22   01:35:17    4556      0   06:04:51    3368      0
 17   00:19:32     909      0   00:47:09    2230      0
 15   00:45:48    3128      0   10:23:27   13838      0
 14   00:14:37    1921      0   10:59:03   19707      0
 13   00:29:07    3148      0   00:32:46    2370      0
 12   00:33:19    3027      0   02:57:12    7515      0
 11   00:27:25    2211      0   00:34:59    2603      0
 10   00:31:28    6494      0   00:41:38    5374      0
  9   00:09:43    1566      0   12:50:17   29212      0
  8   00:13:47    3499      0   06:40:21   16846      0
  7   00:07:15    2910      0   00:10:21    1911      0
