      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:08:45   538      0   00:08:48   447      0
 24   00:08:17   246      0   03:15:39  1821      0
 23   00:04:32   325      0   00:10:31   305      0
 22   00:05:06   401      0   00:21:56   406      0
 21   02:28:26  2110      0   02:47:40  1087      0
 20   00:31:44  1511      0   02:05:37  3110      0
 19   00:08:28  1004      0   00:09:22   568      0
 18   00:18:31  2106      0   00:20:32  1312      0
 17   00:28:34  1894      0   01:33:49   814      0
 16   00:07:36   323      0   00:18:41   216      0
 15   00:10:47   155      0   00:49:14   696      0
 14   00:07:38   359      0   00:34:47  1023      0
 13   00:09:53   589      0   00:22:07   582      0
 12   00:07:39   464      0   00:27:32   501      0
 11   00:06:22   969      0   00:10:14   340      0
 10   00:06:46   524      0   00:09:10   466      0
  9   00:12:06   696      0   00:29:41   615      0
  8   00:10:21   756      0   00:13:10   462      0
  7   00:04:47   393      0   00:06:34   302      0
  6   00:08:44   887      0   00:13:31   294      0
  5   00:04:30   307      0   00:06:18   194      0
  4   00:05:07   557      0   00:07:38   201      0
  3   00:04:30  1226      0   00:13:45  1973      0
  2   00:14:34  4844      0   00:17:13  2253      0
  1   00:02:58   762      0   00:03:56   416      0
